road,id,model_type,condition,name,lat,lon,length
N1,1000363,bridge,A,,22.5060220437735,91.7112848218867,4.5
N1,1000364,link,R,,22.503,91.7128056,56.99999999995953
N1,1000365,bridge,A,,22.5000858335766,91.7141504905109,17.6
N1,1000366,link,R,,22.4969163,91.7155556,314.9999999999977
N1,1000367,bridge,B,,22.4904405976324,91.7182726733934,3.0
N1,1000368,link,R,,22.486944100000002,91.7192771,0.0
N1,1000369,bridge,A,,22.4855480068965,91.7195309517241,4.5
N1,1000370,link,R,,22.4854163,91.7195549,297.00000000002547
N1,1000371,bridge,D,,22.4811642144766,91.7203633632516,24.33
N1,1000372,link,R,,22.4775271,91.72105490000001,114.00000000003274
N1,1000373,bridge,A,,22.4728530893544,91.7232633541336,6.0
N1,1000374,link,R,,22.4694438,91.72505490000002,135.99999999999568
N1,1000375,bridge,B,,22.4624386352,91.7285307,23.2
N1,1000376,link,R,,22.4603056,91.72958270000001,1017.9999999999723
N1,1000377,bridge,A,,22.4488628503871,91.7342823894358,3.0
N1,1000378,link,R,,22.443388600000002,91.73641629999999,135.00000000001933
N1,1000379,bridge,A,,22.4375035216216,91.7386659473513,3.0
N1,1000380,link,R,,22.434971899999997,91.7396941,939.9999999999977
N1,1000381,bridge,B,,22.4220415536,91.7480209792,35.1
N1,1000382,link,R,,22.4198882,91.74977740000001,2000.0
N1,1000383,bridge,A,,22.4030145445,91.75657411625,5.0
N1,1000384,link,R,,22.3996108,91.7573333,111.00000000001842
N1,1000385,bridge,A,,22.3963398830265,91.7582551580777,3.0
N1,1000386,link,R,,22.3944997,91.7586944,59.00000000002592
N1,1000387,bridge,A,,22.3927175345622,91.7590882138248,18.0
N1,1000388,link,R,,22.3921108,91.75925,723.9999999999611
N1,1000389,bridge,A,,22.38524588272,91.76250565776,3.0
N1,1000390,link,R,,22.3815271,91.76522220000001,0.0
N1,1000391,bridge,A,,22.3797011826666,91.7670476533333,8.3
N1,1000392,link,R,,22.379166,91.7675827,455.0000000000125
N1,1000393,bridge,A,,22.3696841276595,91.7739258709219,3.0
N1,1000394,link,R,,22.369166,91.77419379999999,9619.00000000003
N1,1000395,bridge,C,,22.3599057425992,91.8522694918171,4.65
N1,1000396,link,R,,22.3561111,91.8531667,85.00000000000796
N1,1000397,bridge,A,,22.3522674714754,91.852622049836,15.8
N1,1000398,link,R,,22.347388600000002,91.85194440000001,593.0000000000177
N1,1000399,bridge,C,,22.3395393508599,91.8533871579852,39.67
N1,1000400,link,R,,22.3387497,91.85347220000001,224.00000000001796
N1,1000401,bridge,B,,22.3357673216494,91.8538536927835,39.4
N1,1000402,link,R,,22.3314716,91.8515556,209.00000000000318
N1,1000403,bridge,A,,22.3266451369152,91.852759390139,954.5
N1,1000404,link,R,,22.3228327,91.85355559999999,941.0000000000309
N1,1000405,bridge,A,,22.3129265129032,91.856181916129,17.3
N1,1000406,link,R,,22.310833300000002,91.8570278,0.0
N1,1000407,intersection,R,,22.3106111,91.8570833,0.0
N1,1000408,link,R,,22.30825,91.85897220000001,147.00000000001978
N1,1000409,bridge,C,,22.306457756,91.860449028,15.2
N1,1000410,link,R,,22.304305600000003,91.8621667,0.0
N1,1000411,bridge,A,,22.3026235524271,91.8635646970873,3.0
N1,1000412,link,R,,22.302166699999997,91.86394440000001,0.0
N1,1000413,bridge,B,,22.3002851293515,91.8652980307167,5.7
N1,1000414,link,R,,22.299888600000003,91.8655833,0.0
N1,1000415,bridge,A,,22.2975350260563,91.866363031514,3.0
N1,1000416,link,R,,22.2950274,91.8671938,0.0
N1,1000417,bridge,A,,22.2932366309133,91.8684360651053,1.5
N1,1000418,link,R,,22.291944100000002,91.8693327,50.99999999998772
N1,1000419,bridge,A,,22.2916421411764,91.8702911411764,3.0
N1,1000420,link,R,,22.2916108,91.8711382,0.0
N1,1000421,bridge,A,,22.2926079302013,91.8730201176733,3.0
