road,id,model_type,name,lat,lon,length,condition
N1,100222,bridge,LRP145a,23.0124048410423,91.3779796149837,3.4,A
N1,100223,link,LRP148a,23.009555600000002,91.3813604,1407.0000000000107,R
N1,100224,bridge,LRP148a,22.999248756,91.3957752,1.5,A
N1,100225,link,LRP151,22.996388600000003,91.3998052,108.00000000000409,R
N1,100226,bridge,LRP149a,22.9947280792802,91.4022894900763,22.86,B
N1,100227,link,LRP152,22.990694100000002,91.4072222,4939.999999999998,R
N1,100228,bridge,LRP155a,22.9614487369369,91.4429962027027,94.05,B
N1,100229,link,LRP157,22.9611667,91.44338859999999,4055.000000000007,R
N1,100230,bridge,LRP159a,22.9486038666666,91.4794993833333,1.5,A
N1,100231,link,LRP162,22.9497497,91.4883608,1287.9999999999825,R
N1,100232,bridge,LRP161a,22.9496126090047,91.502066899526,191.5,B
N1,100233,link,LRP163b,22.949582999999997,91.50277779999999,4643.000000000001,R
N1,100234,bridge,LRP166a,22.9149647061403,91.5262895350877,222.43,A
N1,100235,link,LRP168b,22.9138056,91.5268604,0.0,R
N1,100236,bridge,LRP166c,22.9097128884012,91.5289285034482,6.1,A
N1,100237,link,LRP169,22.9085833,91.5294993,464.00000000002706,R
N1,100238,bridge,LRP167a,22.9042462955223,91.5316297776119,3.0,A
N1,100239,link,LRP170,22.9003333,91.5333608,937.0000000000118,R
N1,100240,bridge,LRP169a,22.8916386,91.5354719,3.0,A
N1,100241,link,LRP171,22.891638600000004,91.5354719,1914.999999999992,R
N1,100242,bridge,LRP171a,22.8746986941176,91.5408836647058,4.3,A
N1,100243,link,LRP173,22.874443799999998,91.5409719,162.00000000000614,R
N1,100244,bridge,LRP171b,22.872722034892,91.5415958766187,2.0,A
N1,100245,link,LRP173b,22.868416,91.5431663,0.0,R
N1,100246,bridge,LRP171c,22.8680563702127,91.5432963340425,1.5,A
N1,100247,link,LRP174,22.8661111,91.5439997,576.0000000000218,R
N1,100248,bridge,LRP172a,22.8609876872509,91.5451551717131,4.3,A
N1,100249,link,LRP174b,22.8595833,91.54547190000001,0.0,R
N1,100250,bridge,LRP172b,22.8594847882591,91.5454799987854,2.0,A
N1,100251,link,LRP175,22.8575556,91.54563859999999,0.0,R
N1,100252,bridge,LRP173a,22.8560565672727,91.5457188709091,1.5,A
