,road,km,LRPName,condition,lat,lon
239,N1,312.138,LRP308b,A,21.9334444444444,92.0615555555555
240,N1,312.354,LRP309a,A,21.9311944444444,92.0601388888888
241,N1,312.609,LRP309b,A,21.9296666666666,92.0594166666666
242,N1,313.947,LRP310a,A,21.9179444444444,92.0598333333333
243,N1,314.144,LRP310b,A,21.9162499999999,92.0601388888888
244,N1,314.502,LRP311a,A,21.9128333333333,92.0607222222222
245,N1,315.009,LRP311b,A,21.9128333333333,92.0607222222222
246,N1,317.001,LRP313b,A,21.8908333333333,92.0595833333333
247,N1,318.11,LRP314a,A,21.8809166666666,92.059
248,N1,318.796,LRP315a,A,21.8748055555555,92.0590833333333
249,N1,320.189,LRP316a,A,21.8625833333333,92.0594444444444
250,N1,320.513,LRP317a,A,21.8598055555555,92.0603055555555
251,N1,321.305,LRP318a,A,21.8526666666666,92.0608611111111
252,N1,321.536,LRP318b,A,21.8506111111111,92.0609722222222
253,N1,322.5,LRP319a,A,21.8426388888888,92.0638611111111
254,N1,322.823,LRP319b,A,21.8400555555555,92.0651111111111
255,N1,323.619,LRP320a,A,21.8337777777777,92.0685
256,N1,324.331,LRP321a,A,21.8280277777777,92.0713333333333
257,N1,324.607,LRP321b,A,21.8256944444444,92.0723888888888
258,N1,325.153,LRP321d,A,21.8208888888888,92.0740833333333
259,N1,325.49,LRP322a,A,21.818,92.0739444444444
260,N1,327.312,LRP323b,A,21.8031388888888,92.0773055555555
261,N1,329.084,LRP325a,A,21.7872777777777,92.0789722222222
262,N1,329.181,LRP325c,A,21.7864444444444,92.0791111111111
263,N1,330.931,LRP327a,A,21.7729166666666,92.0835833333333
264,N1,335.38,LRP332a,A,21.7377222222222,92.0835833333333
265,N1,336.054,LRP332b,A,21.7315833333333,92.0838611111111
266,N1,336.237,LRP332c,A,21.7301388888888,92.0838611111111
267,N1,337.019,LRP333a,A,21.7228888888888,92.0835277777777
268,N1,338.859,LRP335a,A,21.7080555555555,92.0801111111111
269,N1,339.648,LRP336a,A,21.7014722222222,92.0785833333333
270,N1,342.77,LRP339a,A,21.6743333333333,92.0767499999999
271,N1,343.243,LRP339c,A,21.6701666666666,92.0759722222222
272,N1,344.209,LRP340a,A,21.6618888888888,92.0750277777777
273,N1,344.531,LRP341a,A,21.6590277777777,92.0752222222222
274,N1,345.911,LRP342c,A,21.6468055555555,92.0735277777777
275,N1,349.759,LRP346a,A,21.618376660401,92.0691713375939
276,N1,350.674,LRP347a,A,21.6101111111111,92.0638888888888
277,N1,350.99,LRP347b,A,21.6065555555555,92.0621944444444
278,N1,351.628,LRP348a,A,21.6016388888888,92.0619166666666
279,N1,352.064,LRP348b,A,21.5976666666666,92.0618611111111
280,N1,352.641,LRP349a,A,21.5925833333333,92.0612777777777
281,N1,353.694,LRP350a,A,21.58475,92.0651111111111
282,N1,354.739,LRP351a,A,21.5769999999999,92.0695277777777
283,N1,356.261,LRP352a,A,21.5642777777777,92.0702777777777
284,N1,356.517,LRP353a,A,21.5619722222222,92.0698055555555
285,N1,356.631,LRP353b,A,21.5610833333333,92.0693888888888
286,N1,357.264,LRP354a,A,21.617166,92.0679993
288,N1,358.03,LRP354d,A,21.5470666065573,92.0668953754098
289,N1,360.345,LRP357a,A,21.5284166666666,92.0651944444444
290,N1,360.551,LRP357c,A,21.5265,92.0655
291,N1,360.89,LRP357d,A,21.5235833333333,92.0656111111111
292,N1,361.043,LRP357f,A,21.5221666666666,92.0659166666666
293,N1,361.751,LRP358a,A,21.5161944444444,92.0681944444444
294,N1,362.168,LRP358b,A,21.5128888888888,92.07
295,N1,362.691,LRP359a,A,21.5085,92.07175
296,N1,362.889,LRP359b,A,21.5070555555555,92.0729722222222
297,N1,364.056,LRP360a,A,21.4976111111111,92.0765277777777
298,N1,364.184,LRP360c,A,21.4966944444444,92.0771666666666
299,N1,366.98,LRP363b,A,21.4798333333333,92.0937222222222
300,N1,367.362,LRP364a,A,21.4768055555555,92.0957777777777
301,N1,367.6,LRP364c,A,21.4751666666666,92.0971388888888
302,N1,368.129,LRP364d,A,21.4713055555555,92.0998611111111
305,N1,370.799,LRP367a,A,21.4511944444444,92.0993888888888
306,N1,371.64,LRP368a,A,21.444,92.1013055555555
307,N1,371.848,LRP368c,A,21.4418389714285,92.1007083571428
308,N1,372.43,LRP369a,A,21.4375555555555,92.0985277777777
309,N1,372.782,LRP369b,A,21.4339722222222,92.0974444444444
310,N1,373.192,LRP369c,A,21.4310555555555,92.0958888888888
311,N1,373.424,LRP370a,A,21.4290833333333,92.0954722222222
312,N1,373.598,LRP370c,A,21.4283611111111,92.0953611111111
313,N1,374.081,LRP370e,A,21.4279444444444,92.0895833333333
314,N1,374.655,LRP371a,A,21.4270555555555,92.0839166666666
315,N1,375.035,LRP371c,A,21.42675,92.0804166666666
316,N1,375.416,LRP372a,A,21.4263888888888,92.0766944444444
317,N1,376.062,LRP372c,A,21.4273333333333,92.0703611111111
318,N1,376.931,LRP373a,A,21.4270555555555,92.0632777777777
319,N1,377.189,LRP373b,A,21.4273888888888,92.0607777777777
320,N1,377.519,LRP374a,A,21.4278333333333,92.0582222222222
321,N1,377.753,LRP374c,A,21.4280833333333,92.0553888888888
322,N1,378.02,LRP374e,A,21.4281666666666,92.0528611111111
323,N1,378.492,LRP375a,A,21.4545,92.10075
325,N1,379.004,LRP375c,A,21.4296666666666,92.0439722222222
326,N1,379.504,LRP376a,A,21.4298055555555,92.0394722222222
327,N1,380.346,LRP377a,A,21.4293888888888,92.0315833333333
328,N1,380.615,LRP377c,A,21.4301944444444,92.0300833333333
329,N1,380.759,LRP377d,A,21.4299444444444,92.0279444444444
330,N1,381.374,LRP377f,A,21.4261666666666,92.0236666666666
331,N1,383.632,LRP380a,A,21.4136111111111,92.0393888888889
332,N1,384.001,LRP380c,A,21.4121388888888,92.0422777777777
333,N1,384.978,LRP381b,A,21.4103611111111,92.05075
334,N1,385.237,LRP381c,A,22.4096388888888,92.0525555555555
335,N1,385.614,LRP382a,A,21.4079722222222,92.0560555555555
336,N1,385.78,LRP382b,A,21.4069444444444,92.0568888888888
337,N1,386.494,LRP383a,A,21.4039444444444,92.0627222222222
338,N1,386.968,LRP383b,A,21.4010277777777,92.066
339,N1,387.843,LRP384a,A,21.3934166666666,92.0682499999999
340,N1,389.282,LRP385g,A,21.3812777777777,92.0711944444444
341,N1,389.538,LRP386a,A,21.3788611111111,92.0701944444444
342,N1,389.724,LRP386c,A,21.3772222222222,92.0705833333333
343,N1,390.047,LRP386e,A,21.3753333333333,92.07275
344,N1,390.142,LRP386f,A,21.3748333333333,92.0735833333333
345,N1,390.506,LRP387a,A,21.3740555555555,92.0765277777777
346,N1,390.595,LRP387b,A,21.37325,92.0773055555555
347,N1,391.255,LRP387e,A,21.3678333333333,92.0802777777777
348,N1,391.373,LRP387f,A,21.3675833333333,92.0806944444444
349,N1,391.521,LRP388a,A,21.3656666666666,92.0813611111111
350,N1,392.526,LRP389a,A,21.3573888888888,92.0791111111111
351,N1,392.619,LRP389b,A,21.3563055555555,92.0790555555555
352,N1,393.038,LRP389d,A,21.3528611111111,92.0783888888888
353,N1,393.764,LRP390a,A,21.3461666666666,92.0792222222222
354,N1,394.681,LRP391a,A,21.3382777777777,92.0786944444444
355,N1,401.752,LRP398a,A,21.2840555555555,92.1005833333333
356,N1,402.323,LRP398d,A,21.2791944444444,92.1020277777777
357,N1,403.495,LRP400a,A,21.2695277777777,92.1067499999999
358,N1,403.509,LRP400b,A,21.2696111111111,92.1067777777777
359,N1,403.79,LRP400c,A,21.268,92.1087222222222
360,N1,405.969,LRP402b,A,21.2551666666666,92.1241666666666
361,N1,406.218,LRP402c,A,21.2539722222222,92.1264444444444
362,N1,406.517,LRP403a,A,21.2518888888888,92.1292777777777
363,N1,411.81,LRP408a,A,21.2261388888888,92.1611944444444
364,N1,413.66,LRP410a,A,21.2126944444444,92.1678333333333
365,N1,413.901,LRP410b,A,21.2103611111111,92.1679166666666
366,N1,414.0,LRP410c,A,21.20975,92.1684166666666
367,N1,415.056,LRP411a,A,21.2011666666666,92.1704444444444
368,N1,415.296,LRP411b,A,21.1989722222222,92.1703333333333
369,N1,415.574,LRP412a,A,21.1964444444444,92.1706388888888
370,N1,416.057,LRP412b,A,21.1923333333333,92.1694444444444
371,N1,416.354,LRP412d,A,21.1906666666666,92.16825
372,N1,416.966,LRP413a,A,21.2447497,92.1389441
373,N1,418.231,LRP414a,A,21.1788888888888,92.1572777777777
374,N1,419.63,LRP416a,A,21.1724828063829,92.1552940329787
375,N1,419.88,LRP416b,A,21.1703723502057,92.1547387765432
376,N1,420.18,LRP416e,A,21.1625555555555,92.1522777777777
377,N1,420.606,LRP417b,A,21.1585555555555,92.1525833333333
378,N1,421.156,LRP417d,A,21.1538333333333,92.1527777777777
379,N1,422.784,LRP419a,A,21.2127222,92.1678882
380,N1,423.804,LRP420c,A,21.1376111111111,92.1682222222222
381,N1,424.075,LRP420d,A,21.1372777777777,92.1706388888888
382,N1,424.271,LRP420e,A,21.1371111111111,92.1727222222222
383,N1,425.455,LRP421f,A,21.1663888888888,92.1822777777777
384,N1,425.882,LRP422b,A,21.131,92.1856944444444
385,N1,427.041,LRP423c,A,21.1231388888888,92.1925277777777
386,N1,427.154,LRP423d,A,21.1221388888888,92.1931666666666
387,N1,427.622,LRP424a,A,21.1190555555555,92.196
388,N1,427.804,LRP424b,A,21.1175555555555,92.1965555555555
389,N1,427.969,LRP424e,A,21.1161944444444,92.1969444444444
390,N1,428.578,LRP425a,A,21.11175,92.20075
391,N1,428.89,LRP425b,A,21.1101111111111,92.2032222222222
392,N1,429.491,LRP425e,A,21.1063333333333,92.2070277777777
393,N1,429.615,LRP426a,A,21.1053333333333,92.2074166666666
394,N1,429.719,LRP426b,A,21.1044722222222,92.2075
395,N1,429.912,LRP426c,A,21.1026111111111,92.2077777777777
396,N1,430.072,LRP426d,A,21.1013055555555,92.2079444444444
397,N1,430.287,LRP426e,A,21.0995833333333,92.2091666666666
398,N1,430.978,LRP427b,A,21.0940277777777,92.2117777777777
399,N1,431.167,LRP427d,A,21.0923611111111,92.2122777777777
400,N1,431.398,LRP427e,A,21.0902222222222,92.2129722222222
401,N1,431.877,LRP428a,A,21.0865277777777,92.2150555555555
402,N1,431.946,LRP428b,A,21.0861388888888,92.2153055555555
403,N1,432.19,LRP428c,A,21.0839166666666,92.2162777777777
404,N1,432.411,LRP428d,A,21.082,92.21675
405,N1,432.62,LRP429a,A,21.0798055555555,92.2171388888889
406,N1,432.865,LRP429b,A,21.0784444444444,92.2188333333333
407,N1,432.924,LRP429c,A,21.0778888888888,92.2190277777777
408,N1,433.178,LRP429d,A,21.1371108,92.1727771
409,N1,433.441,LRP429f,A,21.0745833333333,92.2220833333333
410,N1,433.665,LRP430a,A,21.0727777777777,92.2231666666666
411,N1,433.826,LRP430b,A,21.0718611111111,92.2241944444444
412,N1,434.124,LRP430c,A,21.0692777777777,92.2246111111111
413,N1,434.573,LRP431a,A,21.0651666666666,92.2245833333333
414,N1,434.831,LRP431b,A,21.0626944444444,92.2256944444444
415,N1,435.748,LRP432a,A,21.0550555555555,92.2265555555555
416,N1,439.579,LRP435c,A,21.0262222222222,92.2418333333333
417,N1,440.724,LRP437a,A,21.0169444444444,92.2439722222222
418,N1,440.977,LRP437b,A,21.0151388888888,92.2452777777777
419,N1,441.666,LRP438a,A,21.01,92.2492777777777
420,N1,441.974,LRP438b,A,21.0083333333333,92.2510277777777
421,N1,442.161,LRP438c,A,21.00675,92.2519444444444
422,N1,446.71,LRP443a,A,21.0407497,92.2374997
423,N1,447.084,LRP443c,A,20.9649166666666,92.2514722222222
424,N1,447.893,LRP444a,A,20.9582222222222,92.2543055555555
425,N1,448.391,LRP444c,A,20.9530277777777,92.2565277777777
426,N1,448.481,LRP444d,A,20.9533055555555,92.2563333333333
427,N1,448.581,LRP444e,A,20.9530277777777,92.2565
429,N1,448.926,LRP445a,A,21.0228882,92.2420274
431,N1,449.439,LRP445d,A,20.9458888888888,92.2601388888888
432,N1,449.7,LRP446a,A,21.0169993,92.2440274
