,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,economic_importance,road_segment
136,3.0,B,23.50561314,90.92146602,,bridge,10136,N1,,65.90456,18981280.0,N1-16
137,2268.0,N,23.50401046,90.93235396,0,link,10137,N1,,68.17256,18981280.0,N1-16
138,6.0,B,23.50240778,90.94324189,,bridge,10138,N1,,68.17856,18981280.0,N1-16
139,440.0,N,23.50188149,90.94531315,0,link,10139,N1,,68.61856,18981280.0,N1-16
140,3.0,A,23.50135519,90.94738441,,bridge,10140,N1,,68.62156,18981280.0,N1-16
141,2640.0,N,23.49862575,90.95948083,0,link,10141,N1,,71.26156,20361520.0,N1-17
142,4.6,B,23.49589631,90.97157725,,bridge,10142,N1,,71.26616,20361520.0,N1-17
143,1862.0,N,23.49458456,90.98014865,0,link,10143,N1,,73.12816,20361520.0,N1-17
144,4.5,A,23.49327281,90.98872004,,bridge,10144,N1,,73.13265999999999,20361520.0,N1-17
145,3116.0,N,23.4900767,91.00314337,0,link,10145,N1,,76.24865999999999,20361520.0,N1-18
146,23.1,C,23.48688059,91.01756669,,bridge,10146,N1,,76.27175999999999,20361520.0,N1-18
147,3123.0,N,23.48433396,91.03195079,0,link,10147,N1,,79.39475999999999,20361520.0,N1-18
148,4.6,B,23.48178732,91.04633489,,bridge,10148,N1,,79.39935999999999,20361520.0,N1-18
149,1033.0,N,23.48176858,91.05134493,0,link,10149,N1,,80.43235999999999,20361520.0,N1-18
150,4.6,B,23.48174983,91.05635497,,bridge,10150,N1,,80.43695999999998,20361520.0,N1-18
151,1169.0,N,23.48118146,91.06188237,0,link,10151,N1,,81.60595999999998,20361520.0,N1-19
152,1.5,A,23.48061309,91.06740977,,bridge,10152,N1,,81.60745999999997,20361520.0,N1-19
153,1901.0,N,23.47914269,91.07607519999999,0,link,10153,N1,,83.50845999999997,20361520.0,N1-19
154,1.0,C,23.47767229,91.08474064,,bridge,10154,N1,,83.50945999999998,20361520.0,N1-19
155,2567.0,N,23.4778941,91.09588692,0,link,10155,N1,,86.07645999999997,20361520.0,N1-20
156,3.0,B,23.4781159,91.10703321,,bridge,10156,N1,,86.07945999999997,20361520.0,N1-20
157,897.0,N,23.47854375,91.1125996,0,link,10157,N1,,86.97645999999997,20361520.0,N1-20
158,4.0,,23.4789716,91.118166,N102,intersection,10158,N1,,86.98045999999998,20361520.0,N1-20
159,591.0,N,23.47918999,91.12102904,0,link,10159,N1,,87.57145999999997,21168960.0,N1-21
160,1.4,A,23.47940839,91.12389208,,bridge,10160,N1,,87.57285999999998,21168960.0,N1-21
161,552.0,N,23.47947666,91.12646961,0,link,10161,N1,,88.12485999999998,21168960.0,N1-21
162,2.9,A,23.47954492,91.12904714,,bridge,10162,N1,,88.12775999999998,21168960.0,N1-21
163,4724.0,N,23.46158944,91.13920698,0,link,10163,N1,,92.85175999999998,21168960.0,N1-23
164,23.4,A,23.44363396,91.14936682,,bridge,10164,N1,,92.87515999999998,21168960.0,N1-23
